ID,Method,Search,Limit Image,MMAP,Time_each_retrieve
1,LBP,Faiss,30,0.19490584614544518,0.11604384457842905
2,VGG16,Faiss,30,0.32475332093849596,5.357163199726839
3,RGBHistogram,Faiss,30,0.2583668024256028,0.05547922368375411
4,RGBHistogram,Cosine,30,0.26945239448105157,2.1429904247663036
